Prompt,Image Path,Category,Style,Time
"An astronaut floating outside the International Space Station, with Earth in the background.",./output_files/images/image_0.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Sketch B/W,7.8
"Astronaut floating outside spaceship during a spacewalk, with Earth in the background.",./output_files/images/image_1.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Photography,7.2
"Astronaut floating outside spaceship, repairing solar panel. Vibrant blues and oranges against black space backdrop.",./output_files/images/image_2.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Sketch Color,9
"An astronaut floating outside the International Space Station, with Earth in the background.",./output_files/images/image_3.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",General,7.8
"A team of astronauts exploring a mysterious alien planet, with strange rock formations and alien wildlife.",./output_files/images/image_4.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Photography,9.6
"Astronauts conducting a spacewalk outside of their spaceship, with Earth visible in the background.",./output_files/images/image_5.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Sketch B/W,8.4
"Astronauts conducting a spacewalk outside the International Space Station, with Earth in the background.",./output_files/images/image_6.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Dynamic,8.4
"An astronaut floating outside a spaceship, repairing a solar panel with Earth in the background.",./output_files/images/image_7.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Sketch B/W,9
"Astronauts conducting a spacewalk outside the International Space Station, with Earth visible in the background.",./output_files/images/image_8.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Environment,9
"Astronauts on a spacewalk, floating above Earth, with the curvature of the planet in the background.",./output_files/images/image_9.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",General,9.6
"A group of astronauts exploring a mysterious asteroid, collecting samples and conducting experiments in zero gravity.",./output_files/images/image_10.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",3D Render,9.6
"Two astronauts floating outside a spaceship, repairing a broken solar panel with Earth in the background.",./output_files/images/image_11.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",General,9.6
"Astronaut floating outside spaceship, repairing broken solar panel, with Earth in background.",./output_files/images/image_12.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Sketch B/W,7.2
"An astronaut floating outside a spaceship, repairing a solar panel with Earth in the background.",./output_files/images/image_13.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Raytraced,9
"A futuristic spaceship landing on an uncharted planet, its sleek design contrasting against the alien landscape.",./output_files/images/image_14.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Dynamic,9.6
A team of astronauts exploring a mysterious alien spaceship that they've discovered drifting in deep space.,./output_files/images/image_15.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Environment,9.6
"A futuristic spaceship landing on a distant planet, with alien landscapes and creatures in the distance.",./output_files/images/image_16.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",General,9.6
"Astronaut floating outside the International Space Station, with Earth in the background.",./output_files/images/image_17.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Environment,7.2
"An astronaut floating outside a spaceship, gazing at a distant galaxy through a window.",./output_files/images/image_18.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Environment,8.4
"Astronauts floating in zero gravity inside a spaceship, surrounded by twinkling stars.",./output_files/images/image_19.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Sketch B/W,7.2
"Astronauts exploring a barren alien planet, their spaceship looming in the background against a starry sky.",./output_files/images/image_20.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Illustration,9.6
"Astronauts exploring mysterious abandoned alien spacecraft, discovering advanced technology inside. Sketch in eerie greens and purples.",./output_files/images/image_21.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Sketch Color,9.6
"An astronaut floating outside the International Space Station, with Earth in the background.",./output_files/images/image_22.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Environment,7.8
"An astronaut conducting a spacewalk outside the International Space Station, with the Earth as a backdrop.",./output_files/images/image_23.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Sketch B/W,9.6
"Astronauts aboard a futuristic spaceship exploring a distant galaxy, with swirling nebulae in the background.",./output_files/images/image_24.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",3D Render,9
"Astronauts landing on a newly discovered exoplanet, with a lush landscape and alien creatures greeting them.",./output_files/images/image_25.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Raytraced,9.6
"A spaceship crew navigating through a dangerous asteroid field, with intense laser battles against enemy invaders.",./output_files/images/image_26.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Anime,9.6
"A space mission encountering a mysterious alien spacecraft, sparking intrigue and tension among the crew members.",./output_files/images/image_27.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Dynamic,9.6
"Astronauts conducting a spacewalk outside the International Space Station, with Earth in the background.",./output_files/images/image_28.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Creative,8.4
"A futuristic spaceship cruising through the asteroid belt, with glowing engines and a sleek design.",./output_files/images/image_29.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Raytraced,9
"Astronaut floating in zero gravity outside spaceship, Earth in background, surrounded by stars.",./output_files/images/image_30.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Illustration,7.8
"Astronaut floating in zero gravity inside a spaceship, surrounded by control panels and glowing screens.",./output_files/images/image_31.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Photography,9
